film	-707.654419951
festival	-346.393453574
music	-310.625695836
pic	-268.625695836
camera	-257.469955785
young	-224.472691415
designer	-222.930336864
life	-218.319686993
color	-214.852466838
min	-210.774596813
reviewed	-197.081973471
running	-195.469955785
documentary	-190.081973471
sound	-175.852466838
death	-161.852466838
title	-159.390717944
political	-139.927601234
gay	-134.312847918
paul	-133.774596813
history	-131.851099023
docu	-130.157107867
drama	-124.927601234
suicide	-120.157107867
kim	-119.695358972
footage	-117.926233419
woman	-116.621592391
pics	-116.158475682
kaye	-114.233610077
feature	-112.620224576
cinema	-111.618856761
editor	-108.696726787
costume	-106.387982314
love	-104.931704679
louis	-103.771861183
shot	-103.312847918
art	-98.4658523396
country	-98.1571078665
production	-97.1598434965
english	-96.6953589719
stephanie	-93.0792378408
abortion	-92.0792378408
interviews	-91.3101122881
german	-91.00273563
west	-90.9262334192
emile	-84.8483633935
kurt	-84.8483633935
sonny	-84.3101122881
heart	-84.2349778923
christine	-83.6174889461
helmer	-81.00273563
auschwitz	-80.3866144988
sonia	-80.3866144988
dream	-79.9262334192
bowling	-79.6174889461
assistant	-79.2336100773
henry	-79.0792378408
dolby	-78.6174889461
lover	-76.3866144988
friends	-76.004103445
father	-74.1584756815
local	-72.6953589719
dialogue	-72.3114801031
wife	-72.1584756815
intruder	-71.9248656042
malady	-71.9248656042
trudell	-71.9248656042
theatrical	-70.8483633935
home	-69.9289690492
baer	-69.9248656042
small	-69.6188567611
village	-69.6174889461
president	-69.5409867354
community	-69.0792378408
lake	-68.8483633935
strong	-68.6188567611
auds	-68.0792378408
la	-67.7718611827
brother	-67.6953589719
hancock	-67.6939911569
possibilities	-67.1557400515
writer-director	-67.0792378408
tony	-67.0792378408
exclusively	-66.9248656042
africa	-66.6939911569
chaos	-66.6174889461
student	-66.6174889461
denis	-65.9248656042
tropical	-65.9248656042
congo	-65.6939911569
casting	-65.00273563
set	-64.3142157331
years	-63.8538346534
clear	-63.4644845246
fariba	-63.4631167096
vittorio	-63.4631167096
subject	-61.8483633935
clips	-61.4631167096
filmmaker	-61.3101122881
time	-61.0942838057
cut	-61.0792378408
---------------------------------
giant	59.7691255527
murphy	60.0
narnia	60.0
lord	60.3073766581
black	60.9193943442
travolta	61.0
game	61.6912555269
voice	61.7677577377
--	62.2117250374
sequence	62.3060088431
pretty	62.6912555269
ring	62.7691255527
high	62.9207621592
guy	63.9207621592
bit	64.0751343958
wild	64.6147533162
pixar	65.0
potter	65.7691255527
kong	66.3073766581
barry	67.7691255527
mr	68.7568152177
ice	69.0765022108
larry	69.0765022108
andy	69.5382511054
cohen	69.7691255527
vaughn	69.7691255527
human	69.99726437
rachel	70.0
end	70.2267710023
sandler	72.0
star	72.2281388173
animation	72.5382511054
worlds	73.3838788688
robots	74.0
remake	74.5382511054
ferrell	75.0
jokes	75.0765022108
scott	75.1530044215
kind	75.2281388173
bruce	75.7691255527
make	77.2240353723
evil	77.3838788688
carter	77.5382511054
jack	77.6147533162
evan	78.0
cars	78.3073766581
sin	79.0
spider-man	79.0
james	79.2295066323
things	79.6898877119
show	81.0737665808
great	82.6898877119
chris	82.6912555269
world	83.6079142412
animated	83.8456277635
back	84.0710309508
makes	85.7636542927
&	87.3838788688
long	87.5341476604
shrek	88.0
hollywood	90.0751343958
michael	90.5355154754
hard	91.2281388173
made	92.3797754239
batman	93.0
superman	94.0
disney	96.0
voiced	96.0
bourne	97.3073766581
funny	97.8442599485
pg-13	99.5382511054
audience	99.998632185
ben	100.383878869
sequel	101.0
thing	101.228138817
borat	105.0
kids	105.844259948
fun	106.383878869
theyre	108.382511054
bond	112.845627763
franchise	113.769125553
dont	114.304641028
played	114.381143239
plot	114.767757738
lot	118.46038108
doesnt	120.99452874
original	123.382511054
comedy	126.688519897
series	127.459013265
big	132.304641028
book	138.46038108
city	143.53688329
smith	143.538251105
comic	150.767757738
john	183.459013265
action	195.766389923
movies	200.915290899
good	226.53414766
hes	327.072398766
movie	557.673473932
